input_tokens,output_tokens,reasoning_tokens,cached_tokens,total_time,prefill_latency,token_latencies
1045,1,0,0,0.39101529121398926,0.3868732452392578,[0.3868732452392578]
1045,1,0,0,0.6605603694915771,0.6527750492095947,[0.6527750492095947]
1045,1,0,0,0.41561031341552734,0.41202592849731445,[0.41202592849731445]
1045,1,0,0,0.3844926357269287,0.3734409809112549,[0.3734409809112549]
1045,1,0,0,0.46053171157836914,0.4554405212402344,[0.4554405212402344]
1045,1,0,0,0.5918064117431641,0.5906171798706055,[0.5906171798706055]
1045,1,0,0,0.439424991607666,0.4370386600494385,[0.4370386600494385]
1045,1,0,0,0.6959593296051025,0.689523458480835,[0.689523458480835]
1045,1,0,0,0.3569061756134033,0.35657238960266113,[0.35657238960266113]
1045,1,0,0,0.7606525421142578,0.7602174282073975,[0.7602174282073975]
1045,1,0,0,0.3766632080078125,0.3763155937194824,[0.3763155937194824]
1045,1,0,0,0.4637620449066162,0.4529733657836914,[0.4529733657836914]
1045,1,0,0,0.4508490562438965,0.4446735382080078,[0.4446735382080078]
1045,1,0,0,0.5475735664367676,0.5414831638336182,[0.5414831638336182]
1045,1,0,0,0.6310985088348389,0.6298539638519287,[0.6298539638519287]
1045,1,0,0,0.5759508609771729,0.5650749206542969,[0.5650749206542969]
1045,1,0,0,0.3729522228240967,0.3689610958099365,[0.3689610958099365]
1045,1,0,0,0.7706413269042969,0.7604184150695801,[0.7604184150695801]
1045,1,0,0,0.6414952278137207,0.6401152610778809,[0.6401152610778809]
1045,1,0,0,0.4945199489593506,0.4932525157928467,[0.4932525157928467]
1045,1,0,0,0.5636124610900879,0.5568032264709473,[0.5568032264709473]
1045,1,0,0,0.4871358871459961,0.4865837097167969,[0.4865837097167969]
1045,1,0,0,0.40001535415649414,0.399707555770874,[0.399707555770874]
1045,1,0,0,0.6045420169830322,0.5894196033477783,[0.5894196033477783]
1045,1,0,0,0.47246432304382324,0.47213244438171387,[0.47213244438171387]
1045,1,0,0,0.7592206001281738,0.7588992118835449,[0.7588992118835449]
1045,1,0,0,0.3523087501525879,0.3459141254425049,[0.3459141254425049]
1045,1,0,0,0.7465231418609619,0.7462191581726074,[0.7462191581726074]
1045,1,0,0,0.9981279373168945,0.9901280403137207,[0.9901280403137207]
1045,1,0,0,0.5359091758728027,0.5353479385375977,[0.5353479385375977]
1045,1,0,0,0.5335454940795898,0.5307514667510986,[0.5307514667510986]
1045,1,0,0,0.9999113082885742,0.9995934963226318,[0.9995934963226318]
1045,1,0,0,0.613659143447876,0.613337516784668,[0.613337516784668]
